Client_ID,Age,Revenu,Solde_Compte,Nb_Transactions,Score_Credit
B1,68,15341,18994,21,426
B2,54,13201,11147,183,564
B3,62,11522,10654,96,710
B4,46,3881,42270,111,558
B5,53,17686,47824,40,480
B6,37,15871,2050,26,595
B7,35,8971,33767,176,479
B8,57,11485,425,126,505
B9,62,11325,40272,131,499
B10,58,10249,48911,33,329
B11,71,13829,44327,97,324
B12,73,17361,35744,42,338
B13,73,11801,25754,77,630
B14,32,15917,48907,43,452
B15,32,9621,46974,198,332
B16,41,5490,16543,4,808
B17,46,8533,32325,102,415
B18,71,17929,747,192,734
B19,34,6358,45956,198,479
B20,66,11656,21327,179,735
B21,64,8722,18550,195,300
B22,42,14731,26039,146,525
B23,33,17428,21117,148,330
B24,67,12570,2344,158,323
B25,34,4543,38152,180,830
B26,64,9309,29771,23,360
B27,64,11206,42353,47,411
B28,38,15913,30784,131,743
B29,61,15928,49493,50,768
B30,65,16954,46531,122,831
B31,44,19358,2976,9,416
B32,71,12253,-1809,147,453
B33,22,10087,5908,164,426
B34,39,10229,9128,168,818
B35,50,12084,9668,155,750
B36,57,11553,28809,92,611
B37,19,12297,38222,115,371
B38,52,13462,48387,72,800
B39,60,13682,43893,106,393
B40,36,13202,47265,72,822
B41,57,9086,446,82,755
B42,44,10427,21808,123,548
B43,57,4662,22665,149,784
B44,53,9477,45900,141,700
B45,56,5654,625,27,474
B46,19,13405,36165,124,491
B47,58,16139,2028,62,713
B48,70,12986,36907,40,534
B49,35,12440,29752,53,827
B50,63,16838,19288,40,418
