Age,Revenu,Frequence_Achat,Ville,Premium
58,2706.0,3,Rabat,0
48,7634.0,7,Fes,0
34,8477.0,3,Fes,0
27,10221.0,4,Marrakech,0
40,9535.0,7,Rabat,1
58,,4,Marrakech,0
38,10358.0,1,Fes,0
42,3363.0,1,Rabat,0
30,5290.0,7,Rabat,0
30,9908.0,2,Marrakech,0
43,11255.0,1,Fes,0
55,7616.0,3,Rabat,0
59,14883.0,4,Marrakech,0
43,,1,Fes,0
22,,1,Marrakech,0
41,10074.0,2,Casablanca,0
21,8874.0,7,Rabat,1
43,9392.0,7,Casablanca,1
49,4178.0,6,Fes,0
57,5742.0,2,Casablanca,0
21,7136.0,3,Casablanca,0
40,3559.0,7,Fes,0
52,9168.0,4,Marrakech,0
31,12414.0,2,Casablanca,0
41,,1,Marrakech,0
44,5657.0,4,Casablanca,0
46,8415.0,4,Marrakech,0
47,13317.0,1,Fes,0
35,13421.0,2,Casablanca,0
34,12289.0,1,Fes,0
22,13752.0,6,Casablanca,1
56,5193.0,4,Fes,0
26,6127.0,5,Fes,0
40,12055.0,5,Casablanca,1
28,12673.0,3,Casablanca,0
58,,7,Casablanca,0
37,4163.0,1,Rabat,0
23,12221.0,1,Marrakech,0
44,12730.0,3,Rabat,0
33,8092.0,3,Rabat,0
28,,3,Fes,0
45,,4,Casablanca,0
21,9892.0,6,Marrakech,1
39,3806.0,1,Fes,0
47,14721.0,4,Rabat,0
26,9276.0,3,Casablanca,0
27,13367.0,1,Fes,0
54,8364.0,4,Casablanca,0
33,11974.0,6,Fes,1
36,,4,Casablanca,0
55,11401.0,6,Rabat,1
59,8075.0,3,Marrakech,0
23,,6,Rabat,0
21,6913.0,1,Marrakech,0
25,6248.0,3,Casablanca,0
23,3163.0,1,Fes,0
48,4498.0,5,Rabat,0
37,10494.0,2,Marrakech,0
45,14137.0,6,Rabat,1
53,14435.0,2,Marrakech,0
29,3995.0,2,Rabat,0
55,5804.0,6,Marrakech,0
33,6263.0,3,Marrakech,0
50,7732.0,5,Casablanca,0
34,4353.0,1,Marrakech,0
27,,4,Casablanca,0
33,3791.0,1,Marrakech,0
42,6081.0,4,Fes,0
59,14149.0,1,Fes,0
40,10054.0,6,Fes,1
35,,5,Marrakech,0
37,4136.0,4,Casablanca,0
43,6196.0,7,Casablanca,0
45,13691.0,3,Marrakech,0
44,13844.0,1,Fes,0
48,3198.0,1,Fes,0
34,12852.0,4,Casablanca,0
20,14789.0,3,Fes,0
44,7237.0,3,Rabat,0
26,3354.0,6,Casablanca,0
28,10664.0,7,Fes,1
43,8355.0,6,Casablanca,1
20,9892.0,6,Rabat,1
27,9028.0,6,Casablanca,1
43,14166.0,6,Casablanca,1
30,7749.0,6,Casablanca,0
36,,5,Casablanca,0
27,4207.0,3,Rabat,0
54,13469.0,6,Marrakech,1
54,8291.0,3,Casablanca,0
52,12425.0,3,Casablanca,0
24,8035.0,2,Fes,0
58,7431.0,5,Casablanca,0
47,,6,Fes,0
26,2702.0,1,Marrakech,0
28,13947.0,4,Rabat,0
27,6718.0,7,Rabat,0
31,11458.0,1,Marrakech,0
53,6889.0,5,Rabat,0
52,4827.0,4,Marrakech,0
42,10504.0,5,Marrakech,1
43,5431.0,3,Marrakech,0
56,10277.0,4,Rabat,0
54,2697.0,3,Fes,0
59,9625.0,1,Marrakech,0
41,4430.0,1,Casablanca,0
46,14274.0,4,Rabat,0
54,8787.0,4,Marrakech,0
20,11300.0,6,Marrakech,1
54,13964.0,5,Casablanca,1
56,11839.0,6,Fes,1
33,6782.0,5,Fes,0
22,14089.0,6,Fes,1
20,5011.0,3,Marrakech,0
24,,4,Marrakech,0
45,3159.0,1,Marrakech,0
33,5311.0,5,Rabat,0
58,9598.0,5,Casablanca,1
46,9046.0,1,Marrakech,0
28,,6,Casablanca,0
