User_ID,Nb_Commandes,Panier_Moyen,Temps_Site_min,Nb_Produits_Vus,Taux_Retour
E1,4,752,115,94,1.0
E2,21,334,36,84,0.04
E3,34,453,31,73,0.65
E4,40,628,70,82,0.04
E5,35,524,54,3,0.76
E6,13,774,21,36,0.23
E7,43,922,35,70,0.09
E8,27,466,78,38,0.65
E9,8,655,23,65,0.73
E10,41,609,42,83,0.68
E11,42,408,24,38,0.05
E12,29,858,94,28,0.29
E13,16,172,74,47,0.45
E14,43,698,69,73,0.29
E15,46,737,42,47,0.81
E16,5,535,30,10,0.13
E17,37,264,71,88,0.61
E18,40,231,6,90,0.99
E19,40,584,72,72,0.9
E20,42,242,52,5,0.22
E21,10,710,90,13,0.0
E22,15,465,82,86,0.98
E23,21,414,100,34,0.88
E24,34,715,26,25,0.92
E25,22,82,100,23,0.42
E26,22,237,41,85,0.74
E27,9,954,68,3,0.21
E28,26,130,54,8,0.39
E29,13,631,60,46,0.85
E30,18,991,77,62,0.13
E31,1,56,55,39,0.89
E32,23,177,24,51,0.5
E33,33,56,119,22,0.43
E34,47,682,95,45,0.31
E35,31,790,86,75,0.92
E36,21,210,40,23,0.52
E37,23,163,82,49,0.8
E38,16,187,64,80,0.86
E39,27,770,34,51,0.92
E40,37,921,87,28,0.3
E41,38,845,39,99,0.34
E42,14,736,111,29,0.6
E43,37,863,101,59,0.44
E44,47,583,111,70,0.93
E45,7,582,1,78,0.4
E46,12,815,106,93,0.48
E47,28,416,20,28,0.62
E48,3,233,111,74,0.4
E49,22,337,25,47,0.99
E50,21,209,6,4,0.1
