Client_ID,Age,Revenu,Frequence_Achat,Montant_Depense,Score_Fidelite
C1,56,8235,13,1530,51
C2,46,7486,1,330,44
C3,32,9099,7,848,24
C4,60,11670,9,1778,79
C5,25,12748,1,1294,59
C6,38,2775,12,640,32
C7,56,14206,8,1159,96
C8,36,10226,11,624,88
C9,40,5152,19,1283,52
C10,28,12147,17,1962,62
C11,28,3585,8,1822,58
C12,41,5943,3,1366,52
C13,53,9555,3,1209,12
C14,57,5073,1,1919,39
C15,41,3021,5,677,2
C16,20,13653,10,781,3
C17,39,12805,7,656,56
C18,19,5843,9,1697,81
C19,41,9989,7,1112,59
C20,61,11692,9,745,2
C21,47,14990,8,895,2
C22,55,8873,12,1151,92
C23,19,7675,2,1743,54
C24,38,2161,1,1679,87
C25,50,6297,16,1463,96
C26,29,12173,5,1921,97
C27,39,2995,3,1454,1
C28,61,13534,12,1763,19
C29,42,14743,8,1629,2
C30,44,9629,3,1471,53
C31,59,13990,1,1596,44
C32,45,11467,3,1354,90
C33,33,3016,5,289,32
C34,32,9869,15,1348,70
C35,64,8439,14,1508,32
C36,61,9892,3,1500,68
C37,20,8863,1,1406,55
C38,54,9916,5,732,75
C39,24,10529,14,727,56
C40,38,2878,7,1072,17
C41,26,11268,9,1868,38
C42,56,6887,15,1382,24
C43,35,14185,15,1482,69
C44,21,6859,10,809,98
C45,42,8331,13,1579,70
C46,31,10571,19,1534,86
C47,26,10684,7,748,11
C48,43,9208,17,417,16
C49,19,7276,4,1800,97
C50,37,4062,5,1348,73
