User_ID,Nb_Connexions,Temps_Ligne,Data_Consommee_MB,Nb_Erreurs,Latence_ms
U1,67,288,3787,12,95
U2,93,215,1613,4,197
U3,99,156,4199,16,186
U4,18,494,3431,0,66
U5,84,281,4951,8,97
U6,58,421,3164,13,110
U7,87,263,1346,13,142
U8,98,168,362,8,79
U9,97,190,1211,14,122
U10,48,80,1138,6,66
U11,74,375,3037,1,70
U12,33,381,1322,6,147
U13,47,164,538,8,171
U14,97,218,2687,10,79
U15,26,400,2954,12,134
U16,84,280,4129,12,147
U17,79,265,2002,10,38
U18,37,254,4014,17,76
U19,97,369,967,7,20
U20,81,469,3800,13,13
U21,69,448,4295,12,186
U22,50,465,2341,1,13
U23,56,139,2963,9,33
U24,68,53,2641,14,193
U25,3,196,4212,1,44
U26,85,367,1769,3,47
U27,40,193,1233,17,59
U28,67,35,4242,14,97
U29,85,444,371,5,95
U30,48,478,3487,1,163
U31,62,322,3581,18,155
U32,49,315,3473,5,196
U33,8,278,3605,2,55
U34,93,28,1543,18,20
U35,53,475,4097,14,146
U36,98,11,1079,13,35
U37,86,61,936,3,109
U38,95,438,4033,18,77
U39,28,383,1610,14,125
U40,35,243,2208,9,75
U41,98,314,421,17,17
U42,77,66,4056,3,109
U43,41,485,4962,11,177
U44,4,443,2096,11,176
U45,70,352,423,10,143
U46,65,13,919,3,147
U47,76,77,3819,13,178
U48,35,149,1098,14,78
U49,59,159,4284,3,159
U50,11,483,4608,3,99
