Heures_Revision,Presence,Moyenne,Resultat
7,0,9,Echec
8,1,13,Reussite
7,1,9,Echec
5,0,9,Echec
1,0,9,Echec
7,1,10,Echec
7,0,9,Echec
9,0,11,Echec
3,1,16,Echec
9,1,13,Reussite
1,0,8,Echec
1,1,15,Echec
4,0,14,Echec
9,0,17,Echec
6,0,10,Echec
3,1,8,Echec
1,1,12,Echec
4,1,11,Echec
9,1,17,Reussite
3,1,15,Echec
9,0,8,Echec
7,0,17,Echec
4,0,8,Echec
3,0,11,Echec
5,1,15,Reussite
5,0,12,Echec
3,1,9,Echec
9,0,13,Echec
4,1,12,Echec
5,1,9,Echec
4,0,10,Echec
5,0,16,Echec
7,0,14,Echec
9,0,14,Echec
7,1,13,Reussite
5,0,15,Echec
7,0,11,Echec
5,1,15,Reussite
3,0,11,Echec
7,0,15,Echec
2,0,16,Echec
9,0,10,Echec
1,0,10,Echec
6,1,9,Echec
7,0,17,Echec
8,0,10,Echec
9,0,10,Echec
2,0,12,Echec
2,0,12,Echec
5,1,9,Echec
5,0,17,Echec
6,1,13,Reussite
3,1,12,Echec
8,0,13,Echec
1,0,8,Echec
6,0,12,Echec
4,0,16,Echec
1,1,17,Echec
7,0,9,Echec
9,0,8,Echec
4,0,17,Echec
4,0,16,Echec
6,0,17,Echec
3,0,16,Echec
6,1,16,Reussite
7,1,13,Reussite
3,0,15,Echec
7,0,8,Echec
3,0,17,Echec
2,1,11,Echec
4,0,8,Echec
8,1,15,Reussite
9,0,8,Echec
7,0,10,Echec
1,0,11,Echec
3,0,15,Echec
9,1,13,Reussite
1,1,17,Echec
9,0,14,Echec
8,0,15,Echec
1,1,9,Echec
6,1,17,Reussite
5,1,15,Reussite
6,1,10,Echec
5,0,14,Echec
6,1,10,Echec
5,0,14,Echec
5,1,9,Echec
4,1,17,Echec
3,1,13,Echec
3,1,10,Echec
4,1,10,Echec
9,0,16,Echec
2,0,14,Echec
9,1,12,Reussite
1,1,17,Echec
1,0,14,Echec
5,1,16,Reussite
6,1,8,Echec
6,0,14,Echec
3,1,13,Echec
7,1,17,Reussite
9,0,16,Echec
8,0,8,Echec
6,0,11,Echec
8,1,16,Reussite
5,0,11,Echec
8,0,17,Echec
4,0,10,Echec
8,0,16,Echec
2,0,9,Echec
5,0,11,Echec
9,1,13,Reussite
4,1,9,Echec
6,0,15,Echec
1,0,15,Echec
9,0,8,Echec
1,1,10,Echec
5,1,17,Reussite
4,1,16,Echec
