Property_ID,Prix,Surface,Nb_Pieces,Age_Bien
P1,1386880,238,1,11
P2,804999,282,5,12
P3,631593,196,5,12
P4,2355723,125,2,28
P5,2548988,58,1,14
P6,408940,248,2,20
P7,1124926,77,3,15
P8,1614093,255,2,21
P9,685777,272,2,20
P10,1973250,177,5,10
P11,2948790,101,5,27
P12,2229305,132,5,4
P13,2946791,299,3,3
P14,938873,160,5,2
P15,365953,193,1,18
P16,2897480,166,4,19
P17,303267,118,1,24
P18,2479897,148,1,17
P19,2224596,189,5,14
P20,457164,74,4,8
P21,835626,229,4,16
P22,2528636,172,4,13
P23,831831,262,3,14
P24,816771,277,5,0
P25,2960196,102,4,20
P26,2940328,200,3,21
P27,991095,193,2,21
P28,1133727,106,2,2
P29,1462928,88,3,15
P30,1169474,158,3,22
P31,2483151,230,5,24
P32,370640,91,5,10
P33,496582,235,2,11
P34,2300991,216,4,9
P35,700573,191,2,15
P36,1774271,272,4,7
P37,361476,171,4,5
P38,1655531,182,5,11
P39,1515856,212,1,23
P40,975510,264,1,27
P41,2811720,270,3,20
P42,1198320,284,5,7
P43,934736,124,4,25
P44,1887261,195,1,27
P45,2307635,288,4,3
P46,1526607,125,1,25
P47,366234,58,1,7
P48,1912818,123,1,25
P49,2575504,235,5,27
P50,709995,285,2,17
