Property_ID,Prix,Surface,Nb_Pieces,Age_Bien,Cluster_KMeans
P1,1386880,238,1,11,0
P2,804999,282,5,12,4
P3,631593,196,5,12,4
P4,2355723,125,2,28,2
P5,2548988,58,1,14,2
P6,408940,248,2,20,0
P7,1124926,77,3,15,1
P8,1614093,255,2,21,0
P9,685777,272,2,20,0
P10,1973250,177,5,10,4
P11,2948790,101,5,27,3
P12,2229305,132,5,4,4
P13,2946791,299,3,3,4
P14,938873,160,5,2,4
P15,365953,193,1,18,0
P16,2897480,166,4,19,3
P17,303267,118,1,24,2
P18,2479897,148,1,17,2
P19,2224596,189,5,14,3
P20,457164,74,4,8,1
P21,835626,229,4,16,0
P22,2528636,172,4,13,3
P23,831831,262,3,14,0
P24,816771,277,5,0,4
P25,2960196,102,4,20,3
P26,2940328,200,3,21,3
P27,991095,193,2,21,0
P28,1133727,106,2,2,1
P29,1462928,88,3,15,1
P30,1169474,158,3,22,2
P31,2483151,230,5,24,3
P32,370640,91,5,10,1
P33,496582,235,2,11,0
P34,2300991,216,4,9,4
P35,700573,191,2,15,0
P36,1774271,272,4,7,4
P37,361476,171,4,5,4
P38,1655531,182,5,11,4
P39,1515856,212,1,23,2
P40,975510,264,1,27,0
P41,2811720,270,3,20,3
P42,1198320,284,5,7,4
P43,934736,124,4,25,1
P44,1887261,195,1,27,2
P45,2307635,288,4,3,4
P46,1526607,125,1,25,2
P47,366234,58,1,7,1
P48,1912818,123,1,25,2
P49,2575504,235,5,27,3
P50,709995,285,2,17,0
